Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2025 to 12-31-2025,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,D/ BOAL Saison,411,3,0,8,0,3288,144,0,3144,3144,3144,Draft Beer,
Item,Ottos Zenos Rye,63,1,0,8,0,504,8,0,496,496,496,Bottle Beer,
Item,Founder All Day,60,0,0,7,0,420,14,0,406,406,406,Bottle Beer,
Item,Rawb Roy,11,0,0,18,0,198,0,0,198,198,198,Liquor,
Item,"CH Tin, Mackerel Moqueca",9,0,0,26,0,248.04,0,14.04,234,234,248.04,Food,
Item,CH Steak Stir Fry,12,0,1,19,0,256.69,85.5,9.69,161.5,161.5,171.19,Food,
Item,Nola Martini,42,0,0,16,0,672,0,0,672,672,672,Liquor,
Item,Hornitos Plata,455,3,1,8.24,0,3756,57,0,3699,3699,3699,Liquor,
Item,Absinthe Ordinaire,8,0,0,13.25,0,106,0,0,106,106,106,Liquor,
Item,D/ New Trail Ipa,482,3,0,8,0,3856,48,0,3808,3808,3808,Draft Beer,
Item,CH Sorbetto,19,0,0,10.05,0,200.33,35.5,9.33,155.5,155.5,164.83,Food,
Item,Stella Artois,93,0,0,7,0,651,7,0,644,644,644,Bottle Beer,
Item,D/ Slyfox IPA,72,0,0,7,0,504,14,0,490,490,490,Draft Beer,
Item,CH Mushroom Stroganoff,22,0,3,20.4,0,534.99,93.5,24.99,416.5,416.5,441.49,Food,
Item,D/ Tonewood Fuego IPA,131,0,0,8,0,1048,16,0,1032,1032,1032,Draft Beer,
Item,CH Strawberry & Arugula Salad,14,0,1,12,0,190.44,6,10.44,174,174,184.44,Food,
Item,CH Fried Mozzarella,25,0,1,8,0,219.76,12,11.76,196,196,207.76,Food,
Item,Bols Genever,8,0,0,11.5,0,92,0,0,92,92,92,Liquor,
Item,CH Chorizo,19,0,1,12,0,251.88,42,11.88,198,198,209.88,Food,
Item,Blanton's HSC,81,0,0,16.63,0,1347,16,0,1331,1331,1331,Liquor,
Item,Blood & Sand,87,1,0,14,0,1218,0,0,1218,1218,1218,Liquor,
Item,D/ Troegs IPA,394,4,0,7,0,2758,35,0,2723,2723,2723,Draft Beer,
Item,CH Bratwurst Sammy,29,2,1,14,0,441,70,21,350,350,371,Food,
Item,CH Noodles,13,0,1,21,0,308.49,52.5,14.49,241.5,241.5,255.99,Food,
Item,Limoncello,8,0,0,8.88,0,71,11,0,60,60,60,Liquor,
